Date,im_sku,warehouse_code,Linn_Category,Linn_Title,Channel,Quantity,revenue,for_rev_yhat,for_rev_yhat_lower,for_rev_yhat_upper,for_rev_trend,for_rev_weekly,for_rev_yearly,for_qty_yhat,for_qty_yhat_lower,for_qty_yhat_upper,for_qty_trend,for_qty_weekly,for_qty_yearly,out_of_stock,Company,Region
2024-06-01,3PBR-F6MB-5FT,DE,PUNCH BAG SETS,3PC PUNCH BAG F6 MATTE BLACK-5FT,Amazon,1.0,91.99,257.5314912625072,9.04729743143722,511.1269965072439,339.4584460056381,-35.53544776955674,-46.39150697357415,2.618457560173031,-0.0641103159635729,5.23996503755851,3.4140845932803416,-0.3548248705440798,-0.4408021625632307,0.0,,
2024-06-01,3PBR-F6MB-5FT,UK,PUNCH BAG SETS,3PC PUNCH BAG F6 MATTE BLACK-5FT,Amazon,2.0,133.98,347.65039885659394,145.75709146336425,543.7892756151676,289.1975135226451,6.059746065989901,52.39313926795889,5.389365308757376,2.1668038051689984,9.064422889975129,4.540396813584294,0.0892519762319979,0.7597165189410842,0.0,,
2024-06-01,BGR-F6MB-14OZ,DE,BOXING GLOVES,BOXING GLOVES F6 MATTE BLACK-14OZ,Amazon,19.0,780.1500000000001,411.2568582124651,182.5054476247994,631.9837946998923,528.830177858266,-93.65369339413118,-23.919626251669705,10.196981025411048,3.926178920979445,16.634153655620317,13.226735594379049,-2.319187140291499,-0.7105674286765015,0.0,,
2024-06-01,BGR-F6MB-14OZ,UK,BOXING GLOVES,BOXING GLOVES F6 MATTE BLACK-14OZ,Amazon,24.0,719.76,470.66563146261046,216.7878949341849,720.2073886233201,622.7672070414922,-61.47815346380217,-90.62342211507956,15.839794219526922,6.982099201959586,25.26960324045524,20.82536478515896,-2.058231708046111,-2.9273388575859185,0.0,,
2024-06-02,3PBR-F6MB-5FT,DE,PUNCH BAG SETS,3PC PUNCH BAG F6 MATTE BLACK-5FT,Amazon,1.0,112.99,295.0200973641436,31.92033592810083,553.985764044867,339.5365248925032,-1.8475791293793768,-42.66884839898027,3.021617602994958,0.601536195820853,5.636481221370512,3.414986753830785,0.0122325943117638,-0.4056017451475909,0.0,,
2024-06-02,3PBR-F6MB-5FT,UK,PUNCH BAG SETS,3PC PUNCH BAG F6 MATTE BLACK-5FT,Amazon,10.0,669.9,391.9920174034801,201.15208883112,595.3006646830955,288.93931312711254,52.96598324525891,50.08672103110864,6.13926058934638,2.6860907172673154,9.528615055953908,4.538202530399336,0.8713245151535843,0.7297335437934597,0.0,,
2024-06-02,BGR-F6MB-14OZ,DE,BOXING GLOVES,BOXING GLOVES F6 MATTE BLACK-14OZ,Amazon,28.0,1147.16,472.8650329775477,247.0437758091477,725.3970053408848,529.2153806952252,-40.1467711542479,-16.20357656342958,11.69953441153316,5.584767718684693,18.149994662821445,13.23857418050162,-1.0193380988543568,-0.5197016701141014,0.0,,
2024-06-02,BGR-F6MB-14OZ,UK,BOXING GLOVES,BOXING GLOVES F6 MATTE BLACK-14OZ,Amazon,24.0,714.76,514.2608097504178,246.82237430821965,767.2732618485201,623.1705214208465,-22.98556944244889,-85.92414222797976,17.309492999573965,9.265544921415854,26.258613444685988,20.83649118681805,-0.7646548069016359,-2.7623433803424504,0.0,,
2024-06-03,3PBR-F6MB-5FT,DE,PUNCH BAG SETS,3PC PUNCH BAG F6 MATTE BLACK-5FT,Amazon,6.0,622.63,335.0487274736489,84.06992929555572,587.553515179226,339.6146037793684,34.78394479674983,-39.34982110246931,3.3638698818891024,0.8819288804144486,5.89529215234422,3.4158889143812288,0.3222525865845378,-0.3742716190766642,0.0,,
2024-06-03,BGR-F6MB-14OZ,DE,BOXING GLOVES,BOXING GLOVES F6 MATTE BLACK-14OZ,Amazon,19.0,771.5500000000001,575.3816562019937,325.43465535758,814.4574154645381,529.6005835321844,54.9199980827238,-9.138925412914448,14.317743447682457,8.207473720039541,20.3416271708196,13.250412766624192,1.4120213954540055,-0.3446907143957435,0.0,,
2024-06-03,BGR-F6MB-14OZ,UK,BOXING GLOVES,BOXING GLOVES F6 MATTE BLACK-14OZ,Amazon,24.0,720.51,564.4909027056561,309.8146131806836,815.6599280737473,623.573835800201,21.97797541745685,-81.06090851200175,18.991383671050407,10.078151613127831,27.39698805762153,20.847617588477146,0.7368553742197195,-2.593089291646453,0.0,,
2024-06-04,3PBR-F6MB-5FT,DE,PUNCH BAG SETS,3PC PUNCH BAG F6 MATTE BLACK-5FT,Amazon,3.0,296.97,338.7008967718566,87.25967914059213,591.2841535584274,339.6926826662335,35.48654028612831,-36.47832618050524,3.3822581214491887,0.9844372510237888,6.01518254372334,3.416791074931673,0.3126746007310748,-0.347207554213559,0.0,,
2024-06-04,3PBR-F6MB-5FT,UK,PUNCH BAG SETS,3PC PUNCH BAG F6 MATTE BLACK-5FT,Amazon,5.0,334.94,320.90863318872323,121.27326615644056,533.6719001300767,288.42291233604743,-13.121116923880836,45.60683777655664,4.989084115037919,1.347976362551229,8.236529504881938,4.533813964029421,-0.2123895690921949,0.6676597201006929,0.0,,
2024-06-04,BGR-F6MB-14OZ,DE,BOXING GLOVES,BOXING GLOVES F6 MATTE BLACK-14OZ,Amazon,23.0,920.07,559.4761827105675,328.5055659597529,803.8824326392453,529.9857863691435,32.40719556144363,-2.9167992200195885,13.87557860752608,8.221659767625017,20.047721036786097,13.262251352746762,0.8035543938377805,-0.1902271390584631,0.0,,
