metric,period_start,period_end,actual_sum,forecast_sum,next_fcast,kpi_pct
weekly,2024-08-05,2024-08-11,228.0,233.5652321391018,228.08832877516465,-2.38
weekly,2024-08-05,2024-08-11,228.0,233.5652321391018,228.08832877516465,-2.38
weekly,2024-08-05,2024-08-11,228.0,233.5652321391018,228.08832877516465,-2.38
weekly,2024-08-05,2024-08-11,228.0,233.5652321391018,228.08832877516465,-2.38
weekly,2024-08-05,2024-08-11,228.0,233.5652321391018,228.08832877516465,-2.38
weekly,2024-08-05,2024-08-11,228.0,233.5652321391018,228.08832877516465,-2.38
weekly,2024-08-05,2024-08-11,228.0,233.5652321391018,228.08832877516465,-2.38
weekly,2024-08-05,2024-08-11,228.0,233.5652321391018,228.08832877516465,-2.38
weekly,2024-08-05,2024-08-11,228.0,233.5652321391018,228.08832877516465,-2.38
weekly,2024-08-05,2024-08-11,228.0,233.5652321391018,231.85056814773964,-2.38
weekly,2024-08-05,2024-08-11,228.0,233.5652321391018,432.62926725955924,-2.38
weekly,2024-08-05,2024-08-11,228.0,233.5652321391018,226.83612196154448,-2.38
weekly,2024-08-05,2024-08-11,228.0,233.5652321391018,226.83612196154448,-2.38
weekly,2024-08-05,2024-08-11,228.0,233.5652321391018,228.08832877516465,-2.38
weekly,2024-08-05,2024-08-11,228.0,233.5652321391018,228.08832877516465,-2.38
weekly,2024-08-05,2024-08-11,228.0,233.5652321391018,228.08832877516465,-2.38
weekly,2024-08-05,2024-08-11,228.0,233.5652321391018,228.08832877516465,-2.38
weekly,2024-08-05,2024-08-11,228.0,233.5652321391018,228.08832877516465,-2.38
weekly,2024-08-05,2024-08-11,228.0,233.5652321391018,228.08832877516465,-2.38
weekly,2024-08-05,2024-08-11,228.0,233.5652321391018,228.08832877516465,-2.38
weekly,2024-08-05,2024-08-11,228.0,233.5652321391018,228.08832877516465,-2.38
weekly,2024-08-05,2024-08-11,228.0,233.5652321391018,228.08832877516465,-2.38
weekly,2024-08-05,2024-08-11,228.0,233.5652321391018,228.08832877516465,-2.38
weekly,2024-08-05,2024-08-11,228.0,233.5652321391018,228.08832877516465,-2.34
weekly,2024-08-05,2024-08-11,228.0,233.5652321391018,228.08832877516465,-2.34
weekly,2024-08-05,2024-08-11,228.0,233.5652321391018,228.08832877516465,-2.34
weekly,2024-08-05,2024-08-11,228.0,233.5652321391018,228.08832877516465,-2.34
weekly,2024-08-05,2024-08-11,228.0,233.5652321391018,228.08832877516465,-2.344913801500783
weekly,2024-08-05,2024-08-11,228.0,233.5652321391018,228.08832877516465,-2.34
weekly,2024-08-05,2024-08-11,228.0,233.5652321391018,228.08832877516465,-2.3
weekly,2024-08-05,2024-08-11,228.0,233.5652321391018,228.08832877516465,-2.3
weekly,2024-08-05,2024-08-11,228.0,233.5652321391018,228.08832877516465,-2.3
weekly,2024-08-05,2024-08-11,228.0,233.5652321391018,228.08832877516465,-2.3
monthly,2024-07-12,2024-08-11,1036.0,1125.3689290331042,1138.5949362911995,1.2
daily,2024-08-11,2024-08-11,20.0,32.0960569338956,35.50542672875498,10.62
weekly,2024-08-05,2024-08-11,228.0,233.5652321391018,228.08832877516465,-2.34
monthly,2024-07-12,2024-08-11,1036.0,1125.3689290331042,1138.5949362911995,1.18
quarterly,2024-05-12,2024-08-11,2598.0,2700.529719312603,4227.959872921327,
daily,2024-08-11,2024-08-11,20.0,32.0960569338956,35.50542672875498,10.62
weekly,2024-08-05,2024-08-11,228.0,233.5652321391018,228.08832877516465,-2.34
monthly,2024-07-12,2024-08-11,1036.0,1125.3689290331042,1138.5949362911995,1.18
quarterly,2024-05-12,2024-08-11,2598.0,2700.529719312603,4227.959872921327,
daily,2024-08-11,2024-08-11,20.0,32.0960569338956,35.50542672875498,10.62
weekly,2024-08-05,2024-08-11,228.0,233.5652321391018,228.08832877516465,-2.34
monthly,2024-07-12,2024-08-11,1036.0,1125.3689290331042,1138.5949362911995,1.18
quarterly,2024-05-12,2024-08-11,2598.0,2700.529719312603,4227.959872921327,
daily,2024-08-11,2024-08-11,20.0,32.0960569338956,35.50542672875498,-37.69
weekly,2024-08-05,2024-08-11,228.0,233.5652321391018,228.08832877516465,-2.38
monthly,2024-07-12,2024-08-11,1036.0,1125.3689290331042,1138.5949362911995,-7.94
quarterly,2024-05-12,2024-08-11,2598.0,2700.529719312603,4227.959872921327,-3.8
daily,2025-05-06,2025-05-06,0.0,64.94489460137966,64.38983441291253,
weekly,2025-04-30,2025-05-06,0.0,438.6776848012221,430.2432453800751,
monthly,2025-04-07,2025-05-06,0.0,1852.9667427722688,1846.0008708796963,
quarterly,2025-02-07,2025-05-06,1849.0,5004.213514934274,5390.3911528683075,-63.05
daily,2025-01-22,2025-01-22,48.0,61.90923209192424,62.97420134571419,-22.47
weekly,2025-01-16,2025-01-22,303.0,401.59581686707656,434.5513297652746,-24.55
monthly,2024-12-23,2025-01-22,1521.0,1657.4559950254072,1618.953859466663,-8.23
quarterly,2024-10-23,2025-01-22,5829.0,5544.45456755035,5139.519161877559,5.13
daily,2024-08-11,2024-08-11,20.0,32.0960569338956,35.50542672875498,-37.69
weekly,2024-08-05,2024-08-11,228.0,233.5652321391018,228.08832877516465,-2.38
monthly,2024-07-12,2024-08-11,1036.0,1125.3689290331042,1138.5949362911995,-7.94
quarterly,2024-05-12,2024-08-11,2598.0,2700.529719312603,4227.959872921327,-3.8
daily,2025-04-26,2025-04-26,0.0,58.96602505115483,62.783585283450165,
weekly,2025-04-20,2025-04-26,0.0,438.0360642556358,440.3543065006688,
